id,parent_id,rank,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,zoosection,zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,complex,species,hybrid,subspecies,variety,infrahybrid,descendant_obs_count,direct_obs_count
1,48460,kingdom,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37852,102
2,1,phylum,Animalia,Chordata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9601,0
355675,2,subphylum,Animalia,Chordata,Vertebrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9601,42
3,355675,class,Animalia,Chordata,Vertebrata,,Aves,,,,,,,,,,,,,,,,,,,,,,,,,,,,5960,78
4,3,order,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,,,,,,,,,,,,,,,,21,0
154,4,family,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,,,,,,,,,,,21,0
472,154,genus,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Fulica,,,,,,,,,,18,0
473,472,species,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Fulica,,,,,Fulica americana,,,,,18,18
502,154,genus,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Porphyrio,,,,,,,,,,3,0
519,502,species,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Porphyrio,,,,,Porphyrio martinica,,,,,3,3
573,3,order,Animalia,Chordata,Vertebrata,,Aves,,,,,Galliformes,,,,,,,,,,,,,,,,,,,,,,,60,0
574,573,family,Animalia,Chordata,Vertebrata,,Aves,,,,,Galliformes,,,,,,,,Phasianidae,,,,,,,,,,,,,,,47,1
905,574,genus,Animalia,Chordata,Vertebrata,,Aves,,,,,Galliformes,,,,,,,,Phasianidae,,,,,Meleagris,,,,,,,,,,44,0
906,905,species,Animalia,Chordata,Vertebrata,,Aves,,,,,Galliformes,,,,,,,,Phasianidae,,,,,Meleagris,,,,,Meleagris gallopavo,,,,,44,41
