id,parent_id,rank,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,zoosection,zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,complex,species,hybrid,subspecies,variety,descendant_obs_count,direct_obs_count
1,48460,kingdom,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331,6
2,1,phylum,Animalia,Chordata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,0
130868,2,subphylum,Animalia,Chordata,Tunicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0
47811,130868,class,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4
347984,47811,order,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Phlebobranchia,,,,,,,,,,,,,,,,,,,,,,4,0
347992,347984,family,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Phlebobranchia,,,,,,,,Corellidae,,,,,,,,,,,,,,4,0
347993,347992,genus,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Phlebobranchia,,,,,,,,Corellidae,,,,,Corella,,,,,,,,,4,0
495185,347993,species,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Phlebobranchia,,,,,,,,Corellidae,,,,,Corella,,,,,Corella eumyota,,,,4,4
448038,47811,order,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Stolidobranchia,,,,,,,,,,,,,,,,,,,,,,4,0
47809,448038,family,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Stolidobranchia,,,,,,,,Styelidae,,,,,,,,,,,,,,4,0
47808,47809,genus,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Stolidobranchia,,,,,,,,Styelidae,,,,,Cnemidocarpa,,,,,,,,,3,0
430125,47808,species,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Stolidobranchia,,,,,,,,Styelidae,,,,,Cnemidocarpa,,,,,Cnemidocarpa bicornuta,,,,3,3
335196,47809,genus,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Stolidobranchia,,,,,,,,Styelidae,,,,,Symplegma,,,,,,,,,1,0
691932,335196,species,Animalia,Chordata,Tunicata,,Ascidiacea,,,,,Stolidobranchia,,,,,,,,Styelidae,,,,,Symplegma,,,,,Symplegma brakenhielmi,,,,1,1
355675,2,subphylum,Animalia,Chordata,Vertebrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,1
3,355675,class,Animalia,Chordata,Vertebrata,,Aves,,,,,,,,,,,,,,,,,,,,,,,,,,,197,3
4,3,order,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,,,,,,,,,,,,,,,11,0
154,4,family,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,,,,,,,,,,11,0
472,154,genus,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Fulica,,,,,,,,,3,0
482,472,species,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Fulica,,,,,Fulica atra,,,,3,1
413478,482,subspecies,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Fulica,,,,,Fulica atra,,Fulica atra australis,,2,2
502,154,genus,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Porphyrio,,,,,,,,,8,0
418530,502,species,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Porphyrio,,,,,Porphyrio melanotus,,,,8,7
407130,418530,subspecies,Animalia,Chordata,Vertebrata,,Aves,,,,,Gruiformes,,,,,,,,Rallidae,,,,,Porphyrio,,,,,Porphyrio melanotus,,Porphyrio melanotus melanotus,,1,1
2114,3,order,Animalia,Chordata,Vertebrata,,Aves,,,,,Coraciiformes,,,,,,,,,,,,,,,,,,,,,,2,0
