id,parent_id,rank,kingdom,phylum,subphylum,class,order,family,subfamily,tribe,subtribe,genus,subgenus,section,complex,species,hybrid,variety,subspecies,descendant_obs_count,direct_obs_count
47126,48460,kingdom,Plantae,,,,,,,,,,,,,,,,,247,0
211194,47126,phylum,Plantae,Tracheophyta,,,,,,,,,,,,,,,,247,0
47125,211194,subphylum,Plantae,Tracheophyta,Angiospermae,,,,,,,,,,,,,,,247,0
47124,47125,class,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,,,,,,,,,,,,,,247,0
47605,47124,order,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,,,,,,,,,,,,,247,0
47604,47605,family,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,,,,,,,,,,,,172,1
201654,47604,subfamily,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,,,,,,,,,,,13,0
632883,201654,tribe,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Cardueae,,,,,,,,,,13,0
632885,632883,subtribe,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Cardueae,Carduinae,,,,,,,,,13,2
48561,632885,genus,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Cardueae,Carduinae,Cirsium,,,,,,,,10,1
52989,48561,species,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Cardueae,Carduinae,Cirsium,,,,Cirsium vulgare,,,,5,5
60132,48561,species,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Cardueae,Carduinae,Cirsium,,,,Cirsium arvense,,,,4,4
52991,632885,genus,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Cardueae,Carduinae,Carduus,,,,,,,,1,0
53007,52991,species,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Cardueae,Carduinae,Carduus,,,,Carduus tenuiflorus,,,,1,1
447425,47604,subfamily,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,,,,,,,,,,,28,0
359450,447425,tribe,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,,,,,,,,,,28,1
