id,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,zoosection,zoosubsection,superfamily,epifamily,family,subfamily,descendant_obs_count,direct_obs_count
85350,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Anostracina,,,,,,,Thamnocephalidae,,14,14
85645,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Anostracina,,,,,,,Branchinectidae,,10,10
85646,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Anostracina,,,,,,,Branchipodidae,,8,8
85684,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Anostracina,,,,,,,Chirocephalidae,,33,33
86084,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Anostracina,,,,,,,Streptocephalidae,,1,1
488344,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Anostracina,,,,,,,Tanymastigidae,,1,1
85605,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Artemiina,,,,,,,Artemiidae,,41,41
996477,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,,,Anostraca,Artemiina,,,,,,,Parartemiidae,,1,1
68306,Animalia,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,,,Diplostraca,Spinicaudata,,,,,,,,Cyzicidae,,36,36
153159,Animalia,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,,,Diplostraca,Spinicaudata,,,,,,,,Leptestheriidae,,3,3
153160,Animalia,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,,,Diplostraca,Spinicaudata,,,,,,,,Limnadiidae,,138,138
1438275,Animalia,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,,,Diplostraca,Spinicaudata,,,,,,,,Eocyzicidae,,1,1
122268,Animalia,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,,,Diplostraca,Laevicaudata,,,,,,,,Lynceidae,,6,6
85693,Animalia,Arthropoda,Crustacea,,Branchiopoda,Phyllopoda,,,Diplostraca,Anomopoda,,,,,,,,Chydoridae,,767,767
