id,time_observed_at,user_name,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
352359544,2026-04-23 20:31:04 UTC,Abby L,-39.0679507589,174.1019655392,Gallant Soldier,Galinsoga parviflora,Gallant Soldier,Plantae,48178,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Millerieae,Galinsoginae,Galinsoga,,Galinsoga parviflora,,,,
352447905,2026-04-24 02:17:44 UTC,Liam Aitchison,-39.0817929997,174.0382887,leopard-plant,Farfugium japonicum,leopard-plant,Plantae,322755,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,Tussilagininae,Farfugium,,Farfugium japonicum,,,,
352462926,2026-04-24 02:53:56 UTC,David Munro,-39.0834299997,174.0752708997,Kirk's tree daisy,Brachyglottis kirkii,Kirk's tree daisy,Plantae,400080,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,,Brachyglottis,,Brachyglottis kirkii,,,,
352465989,2026-04-24 03:25:29 UTC,Abby L,-39.070508047,174.0844751056,Asteroideae,Asteroideae,,Plantae,632790,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,,,,,,,,,
352469649,2026-04-24 03:41:42 UTC,Abby L,-39.0694105,174.0832009,bluemink,Ageratum houstonianum,bluemink,Plantae,120944,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Eupatorieae,Ageratinae,Ageratum,,Ageratum houstonianum,,,,
352470648,2026-04-24 02:29:05 UTC,,-39.0515234,174.0817461997,Cape ivy,Senecio angulatus,creeping groundsel,Plantae,363595,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,Senecioninae,Senecio,,Senecio angulatus,,,,
352474393,2026-04-23 20:59:00 UTC,David Munro,-39.0905406997,174.0424035,yarrow,Achillea millefolium,common yarrow,Plantae,52821,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Matricariinae,Achillea,,Achillea millefolium,,,,
352474395,2026-04-23 21:00:00 UTC,David Munro,-39.0905406997,174.0424035,Akiraho,Olearia paniculata,Akiraho,Plantae,336338,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Astereae,Celmisiinae,Olearia,,Olearia paniculata,,,,
352478067,2026-04-23 21:56:00 UTC,David Munro,-39.0922217,174.0428612997,yarrow,Achillea millefolium,common yarrow,Plantae,52821,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Matricariinae,Achillea,,Achillea millefolium,,,,
352478091,2026-04-23 22:17:00 UTC,David Munro,-39.0928289,174.0426429997,Jersey Cudweed,Pseudognaphalium luteoalbum,Jersey Cudweed,Plantae,53083,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Gnaphalieae,Gnaphaliinae,Pseudognaphalium,,Pseudognaphalium luteoalbum,,,,
352484021,2026-04-23 21:28:00 UTC,,-39.8417175,174.7060993,Pink ragwort,Senecio glastifolius,Woad-leaved ragwort,Plantae,336367,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,Senecioninae,Senecio,,Senecio glastifolius,,,,
352484028,2026-04-23 21:34:00 UTC,,-39.8418993,174.7051954,ragwort,Jacobaea vulgaris,ragwort,Plantae,62498,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,Senecioninae,Jacobaea,,Jacobaea vulgaris,,,,
352484052,2026-04-23 21:56:00 UTC,,-39.8435818,174.7046684,Scotch Thistle,Cirsium vulgare,Bull Thistle,Plantae,52989,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,,Cardueae,Carduinae,Cirsium,,Cirsium vulgare,,,,
352484054,2026-04-23 22:08:00 UTC,,-39.8443406,174.7033996,Californian thistle,Cirsium arvense,creeping thistle,Plantae,60132,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,,Cardueae,Carduinae,Cirsium,,Cirsium arvense,,,,
352484081,2026-04-23 23:06:00 UTC,,-39.8459068,174.6980086,Sow Thistles,Sonchus,sow thistles,Plantae,53270,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Hyoseridinae,Sonchus,,,,,,
352484083,2026-04-23 23:30:00 UTC,,-39.8450788997,174.6946753997,bitter lettuce,Lactuca virosa,bitter lettuce,Plantae,53108,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Lactucinae,Lactuca,,Lactuca virosa,,,,
352485106,2026-04-24 00:48:44 UTC,Halema J,-39.8521166667,174.68857,Tauhinu,Ozothamnus leptophyllus,Tauhinu,Plantae,349798,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Gnaphalieae,Gnaphaliinae,Ozothamnus,,Ozothamnus leptophyllus,,,,
352491515,2026-04-24 02:16:56 UTC,"",-39.0511405,174.0832765,Corn Marigold,Glebionis segetum,Corn Marigold,Plantae,77281,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Glebionidinae,Glebionis,,Glebionis segetum,,,,
352528341,2026-04-23 20:58:37 UTC,"",-39.2446716997,174.0327963997,Olearia arborescens,Olearia arborescens,Common tree daisy,Plantae,366692,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Astereae,Celmisiinae,Olearia,,Olearia arborescens,,,,
352529930,2026-04-23 20:59:47 UTC,"",-39.2448271,174.0330534,Brachyglottis elaeagnifolia,Brachyglottis elaeagnifolia,,Plantae,380727,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,,Brachyglottis,,Brachyglottis elaeagnifolia,,,,
